gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
EP300,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Kidney clear cell carcinoma; pathway context: Epigenetic regulation.
EPCAM,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Kidney clear cell carcinoma; pathway context: Epithelial antigen / adhesion.
ERBB2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Kidney clear cell carcinoma; pathway context: RTK signaling.
ERBB3,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Kidney clear cell carcinoma; pathway context: RTK signaling.
FBXW7,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Kidney clear cell carcinoma; pathway context: Protein turnover.
HIF1A,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Kidney clear cell carcinoma; pathway context: Hypoxia / angiogenesis.
HRAS,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Kidney clear cell carcinoma; pathway context: RAS-MAPK signaling.
JAK1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Kidney clear cell carcinoma; pathway context: JAK-STAT / immune signaling.
JAK2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Kidney clear cell carcinoma; pathway context: JAK-STAT / immune signaling.
KDM5C,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KDM5C in Kidney clear cell carcinoma; pathway context: Cancer-associated pathway context.
KEAP1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Kidney clear cell carcinoma; pathway context: Oxidative stress / NRF2.
KMT2C,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Kidney clear cell carcinoma; pathway context: Epigenetic regulation.
KMT2D,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Kidney clear cell carcinoma; pathway context: Epigenetic regulation.
KRAS,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Kidney clear cell carcinoma; pathway context: RAS-MAPK signaling.
MDM2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Kidney clear cell carcinoma; pathway context: p53 pathway.
MDM4,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Kidney clear cell carcinoma; pathway context: p53 pathway.
MET,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Kidney clear cell carcinoma; pathway context: RTK signaling.
MLH1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Kidney clear cell carcinoma; pathway context: Mismatch repair / MSI.
MSH2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Kidney clear cell carcinoma; pathway context: Mismatch repair / MSI.
MSH6,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Kidney clear cell carcinoma; pathway context: Mismatch repair / MSI.
MSLN,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Kidney clear cell carcinoma; pathway context: Tumor antigen / adhesion.
MTOR,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Kidney clear cell carcinoma; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Kidney clear cell carcinoma; pathway context: Epithelial antigen / mucin biology.
MUC16,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Kidney clear cell carcinoma; pathway context: Epithelial antigen / mucin biology.
MYC,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Kidney clear cell carcinoma; pathway context: MYC/proliferation program.
NECTIN4,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Kidney clear cell carcinoma; pathway context: Tumor antigen.
NFE2L2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Kidney clear cell carcinoma; pathway context: Oxidative stress / NRF2.
NOTCH1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Kidney clear cell carcinoma; pathway context: Notch signaling.
NOTCH2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Kidney clear cell carcinoma; pathway context: Notch signaling.
NRAS,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Kidney clear cell carcinoma; pathway context: RAS-MAPK signaling.
PALB2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Kidney clear cell carcinoma; pathway context: DNA repair / HRD.
PBRM1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PBRM1 in Kidney clear cell carcinoma; pathway context: Chromatin remodeling.
PDCD1LG2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Kidney clear cell carcinoma; pathway context: Immune checkpoint.
PIK3CA,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Kidney clear cell carcinoma; pathway context: PI3K-AKT signaling.
PIK3R1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Kidney clear cell carcinoma; pathway context: PI3K-AKT signaling.
PMS2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Kidney clear cell carcinoma; pathway context: Mismatch repair / MSI.
PTEN,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Kidney clear cell carcinoma; pathway context: PI3K-AKT signaling.
RAD51,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Kidney clear cell carcinoma; pathway context: DNA repair / HRD.
RB1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Kidney clear cell carcinoma; pathway context: Cell cycle.
SETD2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SETD2 in Kidney clear cell carcinoma; pathway context: Epigenetic regulation.
SMAD4,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Kidney clear cell carcinoma; pathway context: TGF-beta signaling.
SMARCA4,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Kidney clear cell carcinoma; pathway context: Chromatin remodeling.
SMARCB1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Kidney clear cell carcinoma; pathway context: Chromatin remodeling.
TERT,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Kidney clear cell carcinoma; pathway context: Telomere maintenance.
TGFBR2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Kidney clear cell carcinoma; pathway context: TGF-beta signaling.
TP53,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Kidney clear cell carcinoma; pathway context: Tumor-suppressor pathway.
TROP2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Kidney clear cell carcinoma; pathway context: Tumor antigen.
VEGFA,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Kidney clear cell carcinoma; pathway context: Angiogenesis / microenvironment.
VHL,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: VHL in Kidney clear cell carcinoma; pathway context: Hypoxia / angiogenesis.
AKT1,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Kidney papillary carcinoma; pathway context: PI3K-AKT signaling.
APC,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Kidney papillary carcinoma; pathway context: WNT signaling.
ARID1A,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Kidney papillary carcinoma; pathway context: Chromatin remodeling.
ARID1B,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Kidney papillary carcinoma; pathway context: Chromatin remodeling.
ATM,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Kidney papillary carcinoma; pathway context: DNA damage response.
ATR,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Kidney papillary carcinoma; pathway context: DNA damage response.
B2M,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Kidney papillary carcinoma; pathway context: Antigen presentation.
BAP1,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BAP1 in Kidney papillary carcinoma; pathway context: Chromatin / DNA repair.
BRAF,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Kidney papillary carcinoma; pathway context: MAPK signaling.
BRCA1,Kidney papillary carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Kidney papillary carcinoma; pathway context: DNA repair / HRD.
